item,spread
USDCHF,2
GBPUSD,2
EURUSD,1
USDJPY,1
USDCAD,2
AUDUSD,2
EURGBP,2
EURAUD,4
EURCHF,3
EURJPY,1
GBPCHF,4
CADJPY,3
GBPJPY,3
AUDNZD,6
AUDCAD,6
AUDCHF,6
AUDJPY,4
CHFJPY,4
EURNZD,6
EURCAD,5
CADCHF,6
NZDJPY,6
NZDUSD,2
GOLD,50
EURCZK,10
EURDKK,10
EURZAR,10
GBPAUD,6
GBPCAD,6
GBPDKK,10
GBPHUF,10
GBPNOK,10
GBPNZD,6
GBPZAR,10
HKDJPY,10
NOKJPY,10
NZDCAD,6
NZDCHF,6
SEKJPY,10
SGDJPY,10
USDCNY,10
USDCZK,10
USDDKK,10
USDHUF,10
USDHKD,10
USDNOK,10
USDPLN,10
USDZAR,10
ZARJPY,10
SILVER,3
NIFTY,500
WTI,4
ADOBE_SYS,35
AIG,7
ALIBABA,23
ALTABA,10
AMAZON,240
AMER_AIRLS,6
AMEX,16
APPLE,28
BAIDU,27
BANCSAN,110
BMW,15
BOEING,52
BOA,14
BRBY-LON,441
BOSS,13
BRIDGESTONE,635
CANON,489
CBS,9
CISCO,7
COCA-COLA,7
DISNEY,18
COST,35
HITACHI-TSE,505
EBAY,5
FACEBOOK,21
FANUC,2900
FERRARI,25
FAST-RET,8800
GOOGLE,156
GS,30
HONDA,483
IBM,18
LUFTHANSA,5
INTEL,7
KOMATSU_NPV,449
JPM,16
LVMH,67
LG,2
McDonald's,28
MICRON,6
MAZDA,181
MICROSOFT,16
MIZUHO,29
MITSUI,406
Motorola,30
MURATA_MFG,2500
NESTLE,42
NETFLIX,43
NIKE,12
NISSAN,153
PAYPAL,12
NOMURA-TSE,78
PANASONIC-J,170
SAMSUNG,12500
PFIZER,6
SNAPCHAT,1
SHARP-TSE,269
SONY,877
SUZUKI,805
SPOTIFY,17
TAKEDA_PHAR,674
TBCOJAP,424
TESLA,51
TokioMarHol,2670
TOKYO_ELECT,2300
TWITTER,5
TOYOTA,989
UBI,1
XIAOMI,4
YANDEX,4
BTCMINI,3545
Ethereum,174
Litecoin,42
Ripple,44
TOSHIBA,575
HOILZ8,1
ASXZ8,300
ASXH9,300
SPZ8,50
SPH9,50
SMIZ8,350
SMIH9,350
BRENTF9,4
COCOAH9,400
COFFEEZ8,30
COFFEEH9,30
CORNZ8,100
COTT2Z8,12
SUG11H9,2
NGASZ8,1
WHEATZ8,50
COPPZ8,1
COPPH9,1
AEXZ8,15
AEXH9,15
CACZ8,100
CACH9,100
NSDQZ8,138
NSDQH9,138
PLATF9,149
PALLADZ8,273
PALLADH9,273
NKZ8,750
NKH9,750
SBEANF9,140
VIXZ8,15
VIXF9,15
HOILF9,1
HOILG9,1
NGASF9,1
IBEXZ8,395
IBEXF9,395
BRENTG9,4
BRENTH9,4
DAXZ8,125
DAXH9,125
DOWZ8,590
DOWH9,590
EURO50Z8,100
EURO50H9,100
FTSEZ8,138
FTSEH9,138
HANGX8,2530
HANGZ8,2530
HANGF9,2530
MIBZ8,790
MIBH9,790
COTT2H9,12
CORNH9,100
WHEATH9,50
NGASG9,1
PLATJ9,149
SBEANH9,140
VIXG9,15
HOILH9,1
NGASH9,1
IBEXH9,395
IBEXG9,395
BRENTJ9,4
HANGG9,2530
LCATTG9,25
VIXH9,15
SUG11K9,2
BRENTK9,4
NGASJ9,1
